Power,,,,,,
2.08,,,,,,
2.24,,,,,,
2.21,,,,,,
2.02,,,,,,
2.85,,,,,,
2.08,,,,,,
2.11,,,,,,
2.4,,,,,,
2.02,,,,,,
2.11,,,,,,
2.14,,,,,,
2.14,,,,,,
2.85,,,,,,
2.14,,,,,,
2.11,,,,,,
2.14,,,,,,
2.21,,,,,,
2.18,,,,,,
2.11,,,,,,
1.92,,,,,,
2.21,,,,,,
2.91,,,,,,
2.08,,,,,,
2.43,,,,,,
2.05,,,,,,
2.21,,,,,,
2.5,,,,,,
2.05,,,,,,
2.24,,,,,,
2.08,,,,,,
2.18,,,,,,
2.46,,,,,,
1.38,,,,,,
2.18,,,,,,
3.17,,,,,,
4.99,,,,,,
5.28,,,,,,
5.57,,,,,,
4.93,,,,,,
4.29,,,,,,
2.94,,,,,,
2.66,,,,,,
2.85,,,,,,
1.73,,,,,,
2.24,,,,,,
1.47,,,,,,
2.91,,,,,,
8.32,,,,,,
7.65,,,,,,
7.52,,,,,,
7.65,,,,,,
8.35,,,,,,
7.78,,,,,,
9.41,,,,,,
11.26,,,,,,
11.55,,,,,,
10.94,,,,,,
10.72,,,,,,
8.67,,,,,,
7.14,,,,,,
4,,,,,,
3.55,,,,,,
3.07,,,,,,
3.78,,,,,,
2.91,,,,,,
2.37,,,,,,
2.46,,,,,,
3.26,,,,,,
3.26,,,,,,
2.98,,,,,,
2.4,,,,,,
2.24,,,,,,
2.02,,,,,,
2.11,,,,,,
1.92,,,,,,
2.85,,,,,,
2.02,,,,,,
1.92,,,,,,
1.98,,,,,,
2.14,,,,,,
2.02,,,,,,
2.08,,,,,,
2.75,,,,,,
1.92,,,,,,
2.05,,,,,,
2.11,,,,,,
2.02,,,,,,
1.98,,,,,,
1.98,,,,,,
2.05,,,,,,
2.18,,,,,,
2.59,,,,,,
1.95,,,,,,
2.11,,,,,,
2.08,,,,,,
1.86,,,,,,
2.02,,,,,,
1.92,,,,,,
2.18,,,,,,
2.05,,,,,,
2.72,,,,,,
1.98,,,,,,
2.14,,,,,,
1.95,,,,,,
1.98,,,,,,
2.02,,,,,,
1.92,,,,,,
2.11,,,,,,
1.95,,,,,,
1.98,,,,,,
2.69,,,,,,
2.18,,,,,,
2.53,,,,,,
2.88,,,,,,
2.85,,,,,,
3.01,,,,,,
2.88,,,,,,
2.53,,,,,,
2.02,,,,,,
1.89,,,,,,
2.05,,,,,,
2.88,,,,,,
1.95,,,,,,
2.18,,,,,,
6.18,,,,,,
6.34,,,,,,
7.3,,,,,,
7.23,,,,,,
6.69,,,,,,
11.9,,,,,,
10.18,,,,,,
16.86,,,,,,
21.47,,,,,,
21.18,,,,,,
19.9,,,,,,
18.02,,,,,,
17.86,,,,,,
17.44,,,,,,
19.17,,,,,,
19.52,,,,,,
23.01,,,,,,
23.23,,,,,,
23.36,,,,,,
12.77,,,,,,
14.98,,,,,,
25.06,,,,,,
23.78,,,,,,
29.86,,,,,,
30.98,,,,,,
28.8,,,,,,
29.54,,,,,,
26.46,,,,,,
27.58,,,,,,
23.71,,,,,,
22.94,,,,,,
24.58,,,,,,
9.15,,,,,,
8.77,,,,,,
6.46,,,,,,
6.05,,,,,,
2.75,,,,,,
2.14,,,,,,
3.07,,,,,,
2.66,,,,,,
2.62,,,,,,
2.66,,,,,,
2.78,,,,,,
2.53,,,,,,
3.36,,,,,,
